Split,Ruta,Resolución,Corrupta
Training,data/raw/Training\notumor\no-0386.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0388.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0389.jpg,"(194, 259)",False
Training,data/raw/Training\notumor\no-0391.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0392.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0393.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0395.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0396.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0397.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0399.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0400.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0401.jpg,"(196, 257)",False
Training,data/raw/Training\notumor\no-0403.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-0406.jpg,"(212, 236)",False
Training,data/raw/Training\notumor\no-0408.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0410.jpg,"(234, 218)",False
Training,data/raw/Training\notumor\no-0413.jpg,"(208, 278)",False
Training,data/raw/Training\notumor\no-0416.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0425.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0432.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-0434.jpg,"(275, 183)",False
Training,data/raw/Training\notumor\no-0435.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0436.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0437.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0447.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-0448.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0450.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0451.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0452.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0454.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0455.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0456.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-0457.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0460.jpg,"(217, 248)",False
Training,data/raw/Training\notumor\no-0463.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0465.jpg,"(208, 217)",False
Training,data/raw/Training\notumor\no-0466.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0467.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0470.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0472.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0477.jpg,"(210, 213)",False
Training,data/raw/Training\notumor\no-0478.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0481.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0487.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0489.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0490.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0491.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0492.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0493.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0498.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0501.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0509.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0516.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0518.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0525.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0526.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0527.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0531.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0532.jpg,"(177, 197)",False
Training,data/raw/Training\notumor\no-0533.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0537.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0538.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0539.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0541.jpg,"(233, 218)",False
Training,data/raw/Training\notumor\no-0542.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0550.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-0551.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0552.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0553.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0554.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0555.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0556.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-0558.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-0560.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0561.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0562.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0565.jpg,"(212, 238)",False
Training,data/raw/Training\notumor\no-0576.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0582.jpg,"(196, 257)",False
Training,data/raw/Training\notumor\no-0584.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0585.jpg,"(177, 197)",False
Training,data/raw/Training\notumor\no-0588.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0590.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-0591.jpg,"(177, 197)",False
Training,data/raw/Training\notumor\no-0593.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0595.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0598.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0599.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0600.jpg,"(227, 213)",False
Training,data/raw/Training\notumor\no-0603.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0605.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-0618.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0626.jpg,"(275, 183)",False
Training,data/raw/Training\notumor\no-0627.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0628.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0629.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0630.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0635.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0639.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0641.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0643.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0647.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0650.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0652.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0657.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0658.jpg,"(196, 257)",False
Training,data/raw/Training\notumor\no-0661.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0662.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0665.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0666.jpg,"(200, 248)",False
Training,data/raw/Training\notumor\no-0667.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0668.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0671.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0672.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0679.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-0681.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0683.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0685.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0687.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0690.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0694.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0696.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0697.jpg,"(194, 259)",False
Training,data/raw/Training\notumor\no-0699.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0701.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0702.jpg,"(209, 242)",False
Training,data/raw/Training\notumor\no-0703.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0704.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0705.jpg,"(194, 259)",False
Training,data/raw/Training\notumor\no-0706.jpg,"(233, 210)",False
Training,data/raw/Training\notumor\no-0707.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0708.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-0709.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0710.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0711.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-0716.jpg,"(203, 248)",False
Training,data/raw/Training\notumor\no-0717.jpg,"(177, 197)",False
Training,data/raw/Training\notumor\no-0718.jpg,"(236, 218)",False
Training,data/raw/Training\notumor\no-0721.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0726.jpg,"(259, 194)",False
Training,data/raw/Training\notumor\no-0730.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0731.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-0734.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0735.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0739.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0741.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0742.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0743.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0745.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0747.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0748.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0750.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0751.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0752.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0754.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0755.jpg,"(203, 243)",False
Training,data/raw/Training\notumor\no-0756.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0757.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-0758.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-0760.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0764.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0773.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0780.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0782.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0783.jpg,"(210, 213)",False
Training,data/raw/Training\notumor\no-0784.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0785.jpg,"(209, 242)",False
Training,data/raw/Training\notumor\no-0786.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0788.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0793.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0794.jpg,"(201, 249)",False
Training,data/raw/Training\notumor\no-0797.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0798.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0800.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0805.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0806.jpg,"(220, 275)",False
Training,data/raw/Training\notumor\no-0813.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0814.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0817.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0825.jpg,"(208, 248)",False
Training,data/raw/Training\notumor\no-0828.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0834.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0836.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0847.jpg,"(194, 259)",False
Training,data/raw/Training\notumor\no-0848.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0849.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0851.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0852.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0854.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0858.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0859.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-0863.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0864.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-0867.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0869.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0872.jpg,"(201, 244)",False
Training,data/raw/Training\notumor\no-0874.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0876.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0878.jpg,"(236, 218)",False
Training,data/raw/Training\notumor\no-0881.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-0883.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0886.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0887.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0888.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0889.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0890.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0891.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-0893.jpg,"(236, 216)",False
Training,data/raw/Training\notumor\no-0896.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0903.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0905.jpg,"(208, 278)",False
Training,data/raw/Training\notumor\no-0906.jpg,"(200, 243)",False
Training,data/raw/Training\notumor\no-0907.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0909.jpg,"(196, 257)",False
Training,data/raw/Training\notumor\no-0911.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-0912.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0914.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0915.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0921.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0923.jpg,"(177, 197)",False
Training,data/raw/Training\notumor\no-0924.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0925.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-0930.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0933.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-0935.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0937.jpg,"(236, 222)",False
Training,data/raw/Training\notumor\no-0941.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0943.jpg,"(200, 210)",False
Training,data/raw/Training\notumor\no-0945.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0948.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-0949.jpg,"(220, 275)",False
Training,data/raw/Training\notumor\no-0952.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0953.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0955.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0956.jpg,"(211, 236)",False
Training,data/raw/Training\notumor\no-0957.jpg,"(207, 225)",False
Training,data/raw/Training\notumor\no-0960.jpg,"(220, 275)",False
Training,data/raw/Training\notumor\no-0961.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-0964.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-0968.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-0970.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-0971.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-0972.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-0978.jpg,"(205, 249)",False
Training,data/raw/Training\notumor\no-0980.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-0982.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-0984.jpg,"(204, 247)",False
Training,data/raw/Training\notumor\no-0987.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-0988.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-0992.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-0994.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0995.jpg,"(275, 183)",False
Training,data/raw/Training\notumor\no-0997.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-0999.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-1003.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1004.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1006.jpg,"(209, 234)",False
Training,data/raw/Training\notumor\no-1007.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-1008.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-1010.jpg,"(212, 236)",False
Training,data/raw/Training\notumor\no-1012.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-1014.jpg,"(222, 252)",False
Training,data/raw/Training\notumor\no-1018.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-1020.jpg,"(205, 249)",False
Training,data/raw/Training\notumor\no-1025.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1028.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-1030.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1032.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-1033.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-1034.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1036.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1040.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-1041.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-1044.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-1045.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1046.jpg,"(194, 259)",False
Training,data/raw/Training\notumor\no-1047.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-1050.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-1051.jpg,"(194, 259)",False
Training,data/raw/Training\notumor\no-1053.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1060.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-1062.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-1063.jpg,"(200, 243)",False
Training,data/raw/Training\notumor\no-1067.jpg,"(196, 257)",False
Training,data/raw/Training\notumor\no-1074.jpg,"(216, 293)",False
Training,data/raw/Training\notumor\no-1078.jpg,"(233, 210)",False
Training,data/raw/Training\notumor\no-1080.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-1081.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1085.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-1086.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1087.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-1089.jpg,"(235, 216)",False
Training,data/raw/Training\notumor\no-1090.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1094.jpg,"(194, 259)",False
Training,data/raw/Training\notumor\no-1095.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-1097.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-1098.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-1099.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-1101.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-1106.jpg,"(216, 302)",False
Training,data/raw/Training\notumor\no-1111.jpg,"(202, 250)",False
Training,data/raw/Training\notumor\no-1113.jpg,"(200, 248)",False
Training,data/raw/Training\notumor\no-1115.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-1116.jpg,"(194, 259)",False
Training,data/raw/Training\notumor\no-1117.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-1118.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-1124.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-1125.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1128.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-1132.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-1134.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-1135.jpg,"(232, 216)",False
Training,data/raw/Training\notumor\no-1137.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1138.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1139.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1140.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-1141.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-1143.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1146.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-1148.jpg,"(236, 223)",False
Training,data/raw/Training\notumor\no-1150.jpg,"(236, 220)",False
Training,data/raw/Training\notumor\no-1155.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-1158.jpg,"(222, 252)",False
Training,data/raw/Training\notumor\no-1159.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1162.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1164.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-1169.jpg,"(221, 257)",False
Training,data/raw/Training\notumor\no-1171.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1176.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1179.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1185.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-1186.jpg,"(235, 214)",False
Training,data/raw/Training\notumor\no-1193.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1194.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-1195.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-1196.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-1199.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-1200.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-1204.jpg,"(220, 212)",False
Training,data/raw/Training\notumor\no-1210.jpg,"(275, 183)",False
Training,data/raw/Training\notumor\no-1211.jpg,"(220, 275)",False
Training,data/raw/Training\notumor\no-1214.jpg,"(200, 252)",False
Training,data/raw/Training\notumor\no-1217.jpg,"(212, 238)",False
Training,data/raw/Training\notumor\no-1219.jpg,"(236, 213)",False
Training,data/raw/Training\notumor\no-1222.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1225.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1228.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-1229.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1232.jpg,"(205, 214)",False
Training,data/raw/Training\notumor\no-1237.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-1238.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1240.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-1242.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-1243.jpg,"(225, 218)",False
Training,data/raw/Training\notumor\no-1244.jpg,"(200, 200)",False
Training,data/raw/Training\notumor\no-1246.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-1248.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1251.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1252.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-1257.jpg,"(210, 234)",False
Training,data/raw/Training\notumor\no-1258.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1259.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-1260.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1262.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-1263.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1264.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-1265.jpg,"(216, 202)",False
Training,data/raw/Training\notumor\no-1268.jpg,"(212, 222)",False
Training,data/raw/Training\notumor\no-1269.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-1270.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1271.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-1272.jpg,"(207, 243)",False
Training,data/raw/Training\notumor\no-1274.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-1275.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-1277.jpg,"(232, 217)",False
Training,data/raw/Training\notumor\no-1282.jpg,"(177, 197)",False
Training,data/raw/Training\notumor\no-1291.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1292.jpg,"(206, 244)",False
Training,data/raw/Training\notumor\no-1295.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-1297.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-1300.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-1301.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-1307.jpg,"(214, 236)",False
Training,data/raw/Training\notumor\no-1309.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-1310.jpg,"(212, 238)",False
Training,data/raw/Training\notumor\no-1316.jpg,"(208, 248)",False
Training,data/raw/Training\notumor\no-1320.jpg,"(208, 242)",False
Training,data/raw/Training\notumor\no-1324.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1325.jpg,"(234, 218)",False
Training,data/raw/Training\notumor\no-1326.jpg,"(212, 280)",False
Training,data/raw/Training\notumor\no-1333.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-1334.jpg,"(173, 201)",False
Training,data/raw/Training\notumor\no-1335.jpg,"(192, 192)",False
Training,data/raw/Training\notumor\no-1339.jpg,"(150, 198)",False
Training,data/raw/Training\notumor\no-1341.jpg,"(208, 225)",False
Training,data/raw/Training\notumor\no-1342.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-1344.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-1346.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1347.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-1348.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-1354.jpg,"(300, 168)",False
Training,data/raw/Training\notumor\no-1355.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-1357.jpg,"(196, 257)",False
Training,data/raw/Training\notumor\no-1362.jpg,"(201, 250)",False
Training,data/raw/Training\notumor\no-1367.jpg,"(194, 259)",False
Training,data/raw/Training\notumor\no-1368.jpg,"(215, 234)",False
Training,data/raw/Training\notumor\no-1370.jpg,"(201, 251)",False
Training,data/raw/Training\notumor\no-1381.jpg,"(227, 222)",False
Training,data/raw/Training\notumor\no-1382.jpg,"(218, 231)",False
Training,data/raw/Training\notumor\no-1387.jpg,"(228, 221)",False
Training,data/raw/Training\notumor\no-1397.jpg,"(206, 244)",False
